Product Name,Price,Price per Unit
Nestle Nan Comfort 1 From Birth Starter Baby Formula Powder 800g,$20.00,$2.50 / 100G
Nestle Nan Comfort 2 Follow-on Formula 6-12 Months Powder 800g,$20.00,$2.50 / 100G
Nestle Nan Comfort 3 Toddler 1+ Years Milk Drink Powder 800g,$16.00,$2.00 / 100G
Bepanthen Nappy Rash Ointment 100g,$15.50,$15.50 / 100G
Little One's Baby Wipes 480 Pack,$11.50,$2.40 / 100EA
Little One's Baby Wipes 80 Pack,$2.40,$3.00 / 100EA
Little One's Baby Wipes Scented 80 Pack,$2.40,$3.00 / 100EA
Waterwipes Fragrance Free Sensitive Skin Baby Wipes 60 Pack,$4.50,$7.50 / 100EA
Waterwipes Fragrance Free Sensitive Skin Baby Wipes 60 X3 Pack,$20.00,$11.11 / 100EA
Huggies Thick Baby Wipes Fragrance Free 80 Pack,$5.00,$6.25 / 100EA
Bepanthen Nappy Rash Ointment 30g,$8.50,$28.33 / 100G
First Response Pregnancy Test Instream Test 3 Pack,$20.00,$6.67 / 1EA
First Response Pregnancy Test Dip Read 3 Pack,$12.80,$4.27 / 1EA
First Response Ovulation Test Kit 14 Pack,$55.50,$3.96 / 1EA
Rafferty's Garden Baby Food Banana Milk Teething Rusks 6+ Months 100g,$4.00,$4.00 / 100G
Curash Water Wipes 3x80 Pack,$12.30,$5.13 / 100EA
Sudocrem Nappy Cream Healing 125g,$12.50,$10.00 / 100G
Little Bellies Organic Sultanas 6 Pack,$2.25,$2.68 / 100G
Kiddylicious Veggie Straws 12g,$2.20,$18.33 / 100G
Curash Baby Wipes Fragrance Free 240 Pack,$9.80,$4.08 / 100EA
Huggies Thick Baby Wipes Fragrance Free 240 Pack,$14.00,$5.83 / 100EA
Woolworths Smiling Tums 6 Months+ Apple & Banana With Oats 120g,$1.00,$0.83 / 100G
Curash Baby Wipes Simply Water 80 Pack,$6.00,$7.50 / 100EA
Huggies Thick Baby Wipes Fragrance Free 400 Pack,$18.00,$4.50 / 100EA
Little One's Baby Wipes Scented 480 Pack,$11.50,$2.40 / 100EA
Sudocrem Nappy Cream 400g,$31.00,$7.75 / 100G
Little One's Baby Wipes Hand & Face 30 Pack,$1.80,$6.00 / 100EA
Huggies Thick Baby Wipes Coconut Oil 80 Pack,$5.00,$6.25 / 100EA
Huggies Thick Baby Wipes Cucumber & Aloe 80 Pack,$5.00,$6.25 / 100EA
Tooshies Eco Wipes Aloe Vera & Chamomile Baby Wipes 70 Pack,$5.50,$7.86 / 100EA
Little One's Premium Baby Wipes Thick Unscented 80 Pack,$2.80,$3.50 / 100EA
Tooshies Eco Wipes Aloe Vera & Chamomile Baby Wipes 280 Pack,$18.50,$4.63 / 1EA
Nestle Nan Comfort 1 From Birth Starter Baby Formula Powder 800g,$20.00,$2.50 / 100G
Nestle Nan Comfort 2 Follow-on Formula 6-12 Months Powder 800g,$20.00,$2.50 / 100G
