Product Name,Price,Price per Unit
Tip Top Sandwich Thins Wholemeal Bread 6 Pack,$3.00,$1.25 / 100G
Tip Top Sandwich Thins Original Bread 6 Pack,$3.00,$1.25 / 100G
Tip Top Burger Thins Bread 6 Pack,$3.00,$1.50 / 100G
Tip Top Sandwich Thins Mixed Grain 6 Pack,$3.00,$1.25 / 100G
Woolworths White Wrap 8 Pack,$2.50,$0.69 / 100G
Mission Wraps Original 8 Pack,$5.50,$0.97 / 100G
Woolworths Wholegrain Wrap 8pk 360g,$2.50,$0.69 / 100G
Woolworths Stonebaked Turkish Rolls 4 Pack,$2.80,$0.70 / 100G
Mission Wraps Wholegrain 8 Pack 567g,$5.50,$0.97 / 100G
Woolworths 35hr Sourdough Loaf White Each,$6.50,$6.50 / 1EA
Abbott's Bakery Rustic White Sandwich Slice Bread Loaf 700g,$4.90,$0.70 / 100G
Abbott's Bakery Dark Rye Sandwich Slice Bread Loaf 700g,$4.90,$0.70 / 100G
Abbott's Bakery Light Rye Sandwich Slice Bread Loaf 680g,$4.90,$0.72 / 100G
Abbott's Bakery Country Grains Sandwich Slice Bread Loaf 800g,$4.90,$0.61 / 100G
Mission Wraps Spinach & Herb 8 Pack,$5.50,$0.97 / 100G
Woolworths Bread Rolls Extra Soft Lunch 6 Pack,$2.65,$0.44 / 1EA
Mission Wraps Mini Original 8 Pack,$5.50,$1.43 / 100G
Woolworths Wholemeal Soft Sandwich Bread 650g,$2.70,$0.42 / 100G
Wonder White Wholemeal With Iron Sandwich Slice 700g,$4.40,$0.63 / 100G
Wonder White Bread Vitamins & Minerals Sandwich 700g,$4.40,$0.63 / 100G
Tip Top The One White Sandwich Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Woolworths Rustic White Sourdough Loaf 500g,$6.00,$1.20 / 100G
Tip Top The One White Toast Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Toscano Waffles 4 Pack,$6.50,$1.81 / 100G
Helga's Traditional White Wraps 8 Pack,$4.50,$0.89 / 100G
Woolworths Scone Homestyle Buttermilk 6 Pack,$6.00,$1.00 / 1EA
Helga's Sourdough Loaf 650g,$4.90,$0.75 / 100G
Tip Top Raisin Fruit Bread Loaf Toast 520g,$4.50,$0.87 / 100G
Wonder White Bread Vitamins & Minerals Toast 700g,$4.40,$0.63 / 100G
Woolworths Bread Rolls Extra Soft Jumbo 6 Pack,$3.00,$0.50 / 1EA
Tip Top Sandwich Thins Wholemeal Bread 6 Pack,$3.00,$1.25 / 100G
Tip Top Sandwich Thins Original Bread 6 Pack,$3.00,$1.25 / 100G
Tip Top Burger Thins Bread 6 Pack,$3.00,$1.50 / 100G
Tip Top Sandwich Thins Mixed Grain 6 Pack,$3.00,$1.25 / 100G
Woolworths White Wrap 8 Pack,$2.50,$0.69 / 100G
Mission Wraps Original 8 Pack,$5.50,$0.97 / 100G
Woolworths Wholegrain Wrap 8pk 360g,$2.50,$0.69 / 100G
Woolworths Stonebaked Turkish Rolls 4 Pack,$2.80,$0.70 / 100G
Mission Wraps Wholegrain 8 Pack 567g,$5.50,$0.97 / 100G
Woolworths 35hr Sourdough Loaf White Each,$6.50,$6.50 / 1EA
Abbott's Bakery Rustic White Sandwich Slice Bread Loaf 700g,$4.90,$0.70 / 100G
Abbott's Bakery Dark Rye Sandwich Slice Bread Loaf 700g,$4.90,$0.70 / 100G
Abbott's Bakery Light Rye Sandwich Slice Bread Loaf 680g,$4.90,$0.72 / 100G
Abbott's Bakery Country Grains Sandwich Slice Bread Loaf 800g,$4.90,$0.61 / 100G
Mission Wraps Spinach & Herb 8 Pack,$5.50,$0.97 / 100G
Woolworths Bread Rolls Extra Soft Lunch 6 Pack,$2.65,$0.44 / 1EA
Mission Wraps Mini Original 8 Pack,$5.50,$1.43 / 100G
Woolworths Wholemeal Soft Sandwich Bread 650g,$2.70,$0.42 / 100G
Wonder White Wholemeal With Iron Sandwich Slice 700g,$4.40,$0.63 / 100G
Wonder White Bread Vitamins & Minerals Sandwich 700g,$4.40,$0.63 / 100G
Tip Top The One White Sandwich Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Woolworths Rustic White Sourdough Loaf 500g,$6.00,$1.20 / 100G
Tip Top The One White Toast Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Toscano Waffles 4 Pack,$6.50,$1.81 / 100G
Helga's Traditional White Wraps 8 Pack,$4.50,$0.89 / 100G
Woolworths Scone Homestyle Buttermilk 6 Pack,$6.00,$1.00 / 1EA
Helga's Sourdough Loaf 650g,$4.90,$0.75 / 100G
Tip Top Raisin Fruit Bread Loaf Toast 520g,$4.50,$0.87 / 100G
Wonder White Bread Vitamins & Minerals Toast 700g,$4.40,$0.63 / 100G
Woolworths Bread Rolls Extra Soft Jumbo 6 Pack,$3.00,$0.50 / 1EA
Woolworths Bread Rolls Soft Hamburger 6 Pack,$2.65,$0.44 / 1EA
Tip Top The One Wholemeal Sandwich Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Helga's Wraps Mixed Grain 8 Pack,$4.50,$0.89 / 100G
Woolworths 35hr Sourdough Loaf Seeded Each,$6.50,$6.50 / 1EA
Woolworths White Soft Sandwich Bread 650g,$2.70,$0.42 / 100G
Woolworths Stonebaked Turkish Pide Loaf 400g,$2.80,$0.70 / 100G
Woolworths Bread Rolls Hotdog Extra Soft 6 Pack,$2.65,$0.44 / 1EA
Simson's Pantry High Protein Low Carb Wraps 5 Pack,$4.40,$1.96 / 100G
Mission Wraps Soft & Fluffy 12 Pack,$4.50,$1.00 / 100G
Woolworths Extra Soft Bread Rolls Jumbo Hamburger 6 Pack,$3.00,$0.50 / 1EA
Mission Wraps Low Carb 288g 6 Pack,$5.50,$1.91 / 100G
Mighty Soft Raisin Toast 600g,$6.50,$1.08 / 100G
Woolworths English Muffins 6 Pack,$2.90,$0.48 / 1EA
Mountain Bread Rye Wraps 200g,$4.90,$2.45 / 100G
Woolworths White Soft Toast Bread 650g,$2.70,$0.42 / 100G
Woolworths Bread Rolls Soft Wholemeal Lunch 6 Pack,$2.65,$0.44 / 1EA
Woolworths Wholemeal Sandwich Hi-fibre Bread 700g,$3.50,$0.50 / 100G
Mighty Soft Bread Rolls Hamburger Buns 6 Pack,$3.70,$0.62 / 1EA
Golden Crumpets Round 6 Pack,$4.40,$0.73 / 1EA
Crafted Range Of Sourdough White Loaf Each,$7.50,$7.50 / 1EA
Tip Top English Muffins Original 6 Pack,$3.00,$0.50 / 1EA
Helga's Bread Traditional Wholemeal 750g,$4.90,$0.65 / 100G
Golden Crumpets Round 6 Pack,$4.40,$0.73 / 1EA
Tip Top Raisin Fruit Bread Loaf Toast 520g,$4.50,$0.87 / 100G
Wonder White Bread Vitamins & Minerals Sandwich 700g,$4.40,$0.63 / 100G
Woolworths Banana Bread Slices 5 Pack,$6.25,$1.25 / 100G
Tip Top English Muffins Original 6 Pack,$3.00,$0.50 / 1EA
Tip Top The One White Sandwich Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Wonder White Wholemeal With Iron Sandwich Slice 700g,$4.40,$0.63 / 100G
Woolworths All Butter Croissants 4 Pack,$2.85,$0.71 / 1EA
Woolworths Bread Rolls Crusty Lunch 6 Pack,$2.65,$0.44 / 1EA
Crafted Range Of Sourdough Dark Rye Loaf Each,$7.50,$7.50 / 1EA
Mountain Bread Natural Light Wraps 8 Pack,$4.90,$2.45 / 100G
Tip Top 9 Grain Classic Sandwich Bread 700g,$4.40,$0.63 / 100G
Woolworths Bread Rolls Bacon & Cheese 6 Pack,$6.00,$1.00 / 1EA
Mighty Soft Bread Rolls Hot Dog 6 Pack,$3.70,$0.62 / 1EA
Woolworths Jumbo Tiger Rolls 6 Pack,$3.00,$0.50 / 1EA
Toscano Waffles Choc Chip 360g,$6.50,$1.81 / 100G
Tip Top White Bread Rolls Hamburger Buns 6 Pack,$4.50,$0.75 / 1EA
Mission Souvlaki Bread 320g,$3.50,$1.09 / 100G
35hr Sourdough Mini Loaf White Each,$2.50,$2.50 / 1EA
Helga's Wholemeal Lower Carb Wraps 6 Pack,$4.50,$1.67 / 100G
Woolworths Crusty Vienna Loaf 450g,$3.00,$3.00 / 1EA
Menissez Bake At Home White Dinner Rolls 6 Pack,$2.60,$0.43 / 1EA
Woolworths All Butter Croissants 4 Pack,$2.85,$0.71 / 1EA
Essentials White Sandwich Bread 650g,$2.40,$0.37 / 100G
Woolworths Bread Rolls Grain Lunch 6 Pack,$2.65,$0.44 / 1EA
Woolworths Jam Sponge Roll 400g,$3.50,$0.88 / 100G
Abbott's Bakery Light Rye Sandwich Slice Bread Loaf 680g,$4.90,$0.72 / 100G
Tip Top Burger Thins Bread 6 Pack,$3.00,$1.50 / 100G
Abbott's Bakery Rustic White Sandwich Slice Bread Loaf 700g,$4.90,$0.70 / 100G
Woolworths Turkish Rolls 3 Pack,$3.75,$1.25 / 1EA
Mission Pita Bread Pockets Wholemeal 420g,$4.40,$1.05 / 100G
Golden Crumpets Round 6 Pack,$4.40,$0.73 / 1EA
Tip Top Raisin Fruit Bread Loaf Toast 520g,$4.50,$0.87 / 100G
Wonder White Bread Vitamins & Minerals Sandwich 700g,$4.40,$0.63 / 100G
Woolworths Banana Bread Slices 5 Pack,$6.25,$1.25 / 100G
Tip Top English Muffins Original 6 Pack,$3.00,$0.50 / 1EA
Tip Top The One White Sandwich Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Wonder White Wholemeal With Iron Sandwich Slice 700g,$4.40,$0.63 / 100G
Woolworths All Butter Croissants 4 Pack,$2.85,$0.71 / 1EA
Sonoma Country White Sourdough 640g,$8.00,$1.25 / 100G
Woolworths Sourdough Rolls White 3 Pack,$4.00,$1.33 / 1EA
Woolworths Banana Bread Slices 5 Pack,$6.25,$1.25 / 100G
Brioche Gourmet Brioche Sliders 10 Pack,$6.50,$0.65 / 1EA
Helga's Bread Light Rye 680g,$4.90,$0.72 / 100G
Woolworths Bread Rolls Soft Wholemeal Jumbo 6 Pack,$3.00,$0.50 / 1EA
Woolworths Multigrain Soft Sandwich Bread 650g,$2.70,$0.42 / 100G
Tip Top Café Raisin Bread Thick 650g,$5.00,$0.77 / 100G
Woolworths Mini Choc Chip Muffin 8 Pack,$4.70,$1.47 / 100G
Tip Top The One Gluten Free White Sandwich Slice Bread Loaf 550g,$7.00,$1.27 / 100G
Tip Top English Muffins Wholemeal 6 Pack,$3.00,$0.50 / 1EA
Abbott's Bakery Farmhouse Wholemeal Sandwich Slice Bread Loaf 750g,$4.90,$0.65 / 100G
Woolworths Country Loaf Wholemeal 750g,$3.90,$0.52 / 100G
Woolworths Bread Roll Cheese & Bacon 4 Pack,$4.50,$1.13 / 1EA
Woolworths Mini Choc Sponge Rolls 6 Pack,$3.50,$1.40 / 100G
Woolworths Bread Rolls Crusty Jumbo Long 6 Pack,$3.00,$0.50 / 1EA
Woolworths Bread Loaf Crusty Tiger Tummy Vienna 450g,$3.00,$3.00 / 1EA
Tip Top Hot Dog Rolls 6 Pack,$4.50,$0.75 / 1EA
Woolworths Free From Gluten White Wraps 4 Pack,$5.50,$2.75 / 100G
Mission Pita Bread Pockets Plain 420g,$4.40,$1.05 / 100G
Nana Traditional Lebanese Bread Wholemeal 350g,$1.80,$0.51 / 100G
Woolworths Crumpets 6 Pack,$2.00,$0.33 / 1EA
Essentials Fruit Toast 560g,$3.00,$0.54 / 100G
Golden Crumpets Round 6 Pack,$4.40,$0.73 / 1EA
Tip Top Raisin Fruit Bread Loaf Toast 520g,$4.50,$0.87 / 100G
Wonder White Bread Vitamins & Minerals Sandwich 700g,$4.40,$0.63 / 100G
Woolworths Banana Bread Slices 5 Pack,$6.25,$1.25 / 100G
Tip Top English Muffins Original 6 Pack,$3.00,$0.50 / 1EA
Tip Top The One White Sandwich Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Wonder White Wholemeal With Iron Sandwich Slice 700g,$4.40,$0.63 / 100G
Woolworths All Butter Croissants 4 Pack,$2.85,$0.71 / 1EA
Woolworths Zucchini Slice Chilled Meal 700g,$13.50,$1.93 / 100G
Golden Crumpets Round Wholemeal 6 Pack,$4.40,$0.73 / 1EA
Woolworths 35hr Sourdough Loaf Kalamata Olive Each,$6.50,$6.50 / 1EA
Woolworths Mini Blueberry Muffins 8 Pack,$4.70,$1.47 / 100G
Mighty Soft Fruit Loaf Cafe Style 600g,$3.50,$0.58 / 100G
Toscano Chocolate Croissants 6 Pack,$5.50,$0.92 / 1EA
Mountain Bread Rice Mountain Bread 200g,$4.90,$2.45 / 100G
Golden Crumpet Squares 6 Pack,$3.50,$0.58 / 1EA
Simson's Pantry Low Carb High Protein + Fibre Large Wraps 6 Pack,$6.50,$1.55 / 100G
Helga's Grain Bread Mixed Grain 850g,$4.90,$0.58 / 100G
Tip Top Gourmet Burger Buns 4 Pack,$5.50,$2.50 / 100G
Nana Traditional Lebanese Bread White 350g,$1.80,$0.51 / 100G
Woolworths Mini Double Choc Muffins 8 Pack,$4.70,$1.47 / 100G
Abbott's Bakery Dark Rye Sandwich Slice Bread Loaf 700g,$4.90,$0.70 / 100G
Toscano Classic Pizza Bases 2 Pack,$6.50,$2.17 / 100G
Woolworths 35hr Sourdough Loaf Garlic & Olive Oil Loaf Each,$6.50,$6.50 / 1EA
Mini Mighty Cheese Scroll 6 Pack,$4.50,$0.75 / 1EA
Woolworths All Butter Croissant 3 Pack,$2.85,$0.95 / 1EA
White Panini Roll 3 Pack,$3.75,$3.75 / 1EA
35hr Sourdough Mini Loaf Dark Rye Each,$2.50,$2.50 / 1EA
Woolworths Bread White Extra Soft Loaf 680g,$2.70,$0.40 / 100G
Woolworths White Soft Hi-fibre Bread 700g,$3.50,$0.50 / 100G
Woolworths Turkish Loaf 400g,$4.00,$4.00 / 1EA
Woolworths Mini Bread Rolls Soft Lunch 12 Pack,$4.50,$0.38 / 1EA
Golden Crumpets Round 6 Pack,$4.40,$0.73 / 1EA
Tip Top Raisin Fruit Bread Loaf Toast 520g,$4.50,$0.87 / 100G
Wonder White Bread Vitamins & Minerals Sandwich 700g,$4.40,$0.63 / 100G
Woolworths Banana Bread Slices 5 Pack,$6.25,$1.25 / 100G
Tip Top English Muffins Original 6 Pack,$3.00,$0.50 / 1EA
Tip Top The One White Sandwich Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Wonder White Wholemeal With Iron Sandwich Slice 700g,$4.40,$0.63 / 100G
Woolworths All Butter Croissants 4 Pack,$2.85,$0.71 / 1EA
Woolworths Lamington Fingers 18 Pack,$3.40,$0.97 / 100G
Helga's Bread Traditional White 750g,$4.90,$0.65 / 100G
Woolworths 35hr Sourdough Mini Loaf Seeded Each,$2.50,$2.50 / 1EA
Woolworths Mini Pizza Scroll 6 Pack,$4.50,$0.75 / 1EA
Bakery Du Jour Brioche Burger Buns 4 Pack,$3.30,$0.83 / 1EA
Home Chef Quiche Lorraine Chilled Meal 700g,$9.00,$1.29 / 100G
Crafted Range Of Sourdough Olive Loaf Each,$7.50,$7.50 / 1EA
Woolworths Crusty Baguette French Stick 340g,$1.90,$1.90 / 1EA
Helga's Sweet Potato Wraps 7 Pack,$4.50,$1.01 / 100G
Home Chef Quiche Spinach & Feta Chilled Meal 700g,$9.00,$1.29 / 100G
Woolworths Bread Wholemeal Loaf 680g,$2.70,$0.40 / 100G
Toscano Tiramisu 500g,$9.50,$1.90 / 100G
Woolworths Bread Wholemeal Soft Loaf 800g,$3.50,$0.44 / 100G
Helga's Corn Tortilla Wraps 8 Pack,$4.50,$0.89 / 100G
Toscano Gluten Free Pizza Base 180g,$7.00,$3.89 / 100G
Woolworths Mixed Tarts 6 Pack,$3.75,$0.63 / 1EA
Woolworths Caramel Slices 4 Pack,$4.30,$2.15 / 100G
Woolworths Pikelets 8 Pack,$2.80,$0.35 / 1EA
Sonoma Whole Wheat Miche 605g,$8.00,$1.32 / 100G
Woolworths Mini Banana Muffin 8 Pack,$4.70,$1.47 / 100G
Woolworths Dreamy Chocolate Chip Cookies 5 Pack,$2.50,$0.50 / 1EA
Woolworths Sourdough Rolls Seeded 3 Pack,$4.00,$1.33 / 1EA
Woolworths Diamond Ciabatta White Roll 4 Pack,$3.75,$0.94 / 1EA
Golden Crumpets Round 6 Pack,$4.40,$0.73 / 1EA
Tip Top Raisin Fruit Bread Loaf Toast 520g,$4.50,$0.87 / 100G
Wonder White Bread Vitamins & Minerals Sandwich 700g,$4.40,$0.63 / 100G
Woolworths Banana Bread Slices 5 Pack,$6.25,$1.25 / 100G
Tip Top English Muffins Original 6 Pack,$3.00,$0.50 / 1EA
Tip Top The One White Sandwich Slice Bread Loaf 700g,$4.40,$0.63 / 100G
Wonder White Wholemeal With Iron Sandwich Slice 700g,$4.40,$0.63 / 100G
Woolworths All Butter Croissants 4 Pack,$2.85,$0.71 / 1EA
Woolworths Turkish Rolls Garlic 3 Pack,$3.75,$1.25 / 1EA
Hedy's Fresh Quiche Spinach & Feta Chilled Meal 1.1kg,$12.50,$1.14 / 100G
Burgen Rye Low Gi Sliced Bread Loaf 700g,$5.90,$0.84 / 100G
Woolworths Bread White Extra Soft Loaf 800g,$3.50,$0.44 / 100G
Tip Top Pizza Bases White 12 Inch 2 Pack,$6.40,$1.45 / 100G
Woolworths Double Unfilled Sponge 460g,$6.00,$1.30 / 100G
Hedy's Fresh Quiche Lorraine Chilled Meal 1.1kg,$12.50,$1.14 / 100G
Home Chef Quiche Lorraine Chilled Meal 200g,$5.00,$2.50 / 100G
Woolworths Plain Ciabatta Roll 4 Pack,$3.75,$0.94 / 1EA
Tip Top 9 Grain Wholemeal Sandwich Bread 750g,$4.40,$0.59 / 100G
Simson's Pantry Low Carb Keto Friendly Wraps 5 Pack,$6.00,$3.00 / 100G
Home Chef Spinach & Feta Quiche Chilled Meal 200g,$5.00,$2.50 / 100G
Mr Kipling Cake Angel Slices Snack Pack 6 Pack,$5.00,$0.83 / 1EA
