Product Name,Price,Price per Unit
Olay Total Effects Face Cream Moisturiser Normal Skin Care 50g,$40.00,$80.00 / 100G
Olay Regenerist Micro-sculpting Face Cream Moisturiser 50g,$60.00,$120.00 / 100G
Olay Regenerist Whips Face Cream Moisturiser Uv Spf 30 50g,$60.00,$120.00 / 100G
Nivea Cellular Serum 30ml,$27.00,$90.00 / 100ML
Essentials Facial Tissues 224 Pack,$1.70,$0.76 / 100SS
Kleenex Everyday 2 Ply Facial Tissues 200 Pack,$3.00,$1.50 / 100SS
Quilton Facial Tissues Soft White 95 Pack,$1.40,$1.47 / 100SS
Kleenex Aloe Vera & Vitamin E 3 Ply Facial Tissues 140 Pack,$3.60,$2.57 / 100SS
Quilton 2ply Tissue Hypo-allergenic 250 Pack,$2.90,$1.16 / 100SS
Quilton Gold 4 Ply Tissues Aloe Vera 100 Pack,$2.20,$2.20 / 100SS
Olay Regenerist Collagen Peptide Moisturiser Skin Care 50g,$60.00,$120.00 / 100G
Olay Regenerist Retinol 24 Night Moisturiser Face Cream 50g,$59.00,$118.00 / 100G
Olay Regenerist Face Cream Moisturiser Fragrance Free 48g,$60.00,$125.00 / 100G
Olay Regenerist Retinol 24 Night Face Serum 30ml,$60.00,$200.00 / 100ML
Kleenex Eucalyptus 3 Ply Facial Tissues 95 Pack,$2.60,$2.74 / 100SS
Sorbent Facial Tissues Thick & Large White 95 Pack,$2.20,$2.32 / 100SS
Kleenex Aloe Vera & Vitamin E 3 Ply Facial Tissues 95 Pack,$2.60,$2.74 / 100SS
Colgate Total Original Antibacterial Toothpaste 200g,$6.00,$3.00 / 100G
Symphony Facial Tissues White 228ss 3 Pack,$5.00,$0.73 / 100SS
Kleenex Large & Thick 3 Ply Facial Tissues 95 Pack,$2.80,$2.95 / 100SS
Quilton Facial Tissue White 3ply 55ss White 3ply Each,$2.30,$4.18 / 100SS
Kleenex Eucalyptus 3 Ply Facial Tissues 140 Pack,$3.60,$2.57 / 100SS
Kleenex Soft & Thick 3 Ply Facial Tissues 95 Pack,$2.70,$2.84 / 100SS
Palmolive Naturals Replenishing Bar Soap Milk & Honey 90g X4 Pack,$5.00,$1.39 / 100G
Colgate Maximum Cavity Protection Toothpaste 180g,$3.50,$1.94 / 100G
Sorbent Hypo-allergenic Pure White Tissues 170 Pack,$2.00,$1.18 / 100SS
Colgate Total Original Antibacterial Toothpaste 115g,$4.00,$3.48 / 100G
Colgate Triple Action With Extra Micro Cleaning Minerals 165g,$3.50,$2.12 / 100G
U By Kotex Tampons Regular Regular 16 Pack,$3.50,$0.22 / 1EA
Macleans Toothpaste Multi Action Whitening Fluoride 170g,$3.50,$2.06 / 100G
Kleenex Aloe Vera & Vitamin E 3 Ply Large & Thick Facial Tissues 70 Pack,$2.60,$3.71 / 100SS
