Product Name,Price,Price per Unit
Dairy Farmers Heart Active Light Milk 1l,$3.90,$3.90 / 1L
Mainland Creamy Cheese Infused With Aged Cheddar & Crackers 40g,$2.50,$62.50 / 1KG
Wonder Dairy Free Vitamins & Omega - 3 Spread 400g,$5.50,$1.38 / 100G
Wonder Dairy Blend Vitamins & Omega - 3 Spread 400g,$5.50,$1.38 / 100G
Woolworths Baby Leaf Spinach 120g,$3.00,$25.00 / 1KG
Woolworths Vanilla Yoghurt 98% Fat Free 1kg,$4.00,$0.40 / 100G
Macro Firm Tofu 450g,$3.00,$6.67 / 1KG
Woolworths Baby Leaf Rocket 120g,$3.30,$27.50 / 1KG
Woolworths Strawberry Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Woolworths Vanilla Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Mainland Creamy Cheese & Crackers Aged Cheddar & Caramelised Onion 40g,$2.50,$62.50 / 1KG
Fresh Fodder Hommous Dip 200g,$5.40,$2.70 / 100G
Fresh Fodder Taramosalata 200g,$5.40,$2.70 / 100G
Fresh Fodder Tzatziki 200g,$5.40,$2.70 / 100G
Yoplait Vanilla Yoghurt 1kg,$4.40,$0.44 / 100G
Woolworths Baby Rocket 60g,$2.00,$33.33 / 1KG
Yakult Probiotic Drink 10x65ml,$7.70,$11.85 / 1L
Woolworths Banana Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Woolworths Natural Greek Style Yoghurt 1kg,$4.40,$0.44 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Vanilla 140g,$2.40,$1.71 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Strawberry 140g,$2.40,$1.71 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Strawberry 110g,$2.40,$2.18 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Vanilla 110g,$2.40,$2.18 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Blueberry 110g,$2.40,$2.18 / 100G
Yoplait Petit Miam Kids Yoghurt Pouch Strawberry 70g,$1.00,$1.43 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Tropical 110g,$2.40,$2.18 / 100G
Macro Satay Tofu 200g,$4.50,$22.50 / 1KG
Tamar Valley Dairy Kids Greek Yoghurt Pouch Raspberry 110g,$2.40,$2.18 / 100G
Woolworths 98% Fat Free Yoghurt Strawberry 1kg,$4.00,$0.40 / 100G
Yopro Danone High Protein Yoghurt No Added Sugar Vanilla 160g,$2.20,$1.38 / 100G
Dairy Farmers Heart Active Light Milk 1l,$3.90,$3.90 / 1L
Mainland Creamy Cheese Infused With Aged Cheddar & Crackers 40g,$2.50,$62.50 / 1KG
Wonder Dairy Free Vitamins & Omega - 3 Spread 400g,$5.50,$1.38 / 100G
Wonder Dairy Blend Vitamins & Omega - 3 Spread 400g,$5.50,$1.38 / 100G
Woolworths Baby Leaf Spinach 120g,$3.00,$25.00 / 1KG
Woolworths Vanilla Yoghurt 98% Fat Free 1kg,$4.00,$0.40 / 100G
Macro Firm Tofu 450g,$3.00,$6.67 / 1KG
Woolworths Baby Leaf Rocket 120g,$3.30,$27.50 / 1KG
Woolworths Strawberry Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Woolworths Vanilla Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Mainland Creamy Cheese & Crackers Aged Cheddar & Caramelised Onion 40g,$2.50,$62.50 / 1KG
Fresh Fodder Hommous Dip 200g,$5.40,$2.70 / 100G
Fresh Fodder Taramosalata 200g,$5.40,$2.70 / 100G
Fresh Fodder Tzatziki 200g,$5.40,$2.70 / 100G
Yoplait Vanilla Yoghurt 1kg,$4.40,$0.44 / 100G
Woolworths Baby Rocket 60g,$2.00,$33.33 / 1KG
Yakult Probiotic Drink 10x65ml,$7.70,$11.85 / 1L
Woolworths Banana Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Woolworths Natural Greek Style Yoghurt 1kg,$4.40,$0.44 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Vanilla 140g,$2.40,$1.71 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Strawberry 140g,$2.40,$1.71 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Strawberry 110g,$2.40,$2.18 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Vanilla 110g,$2.40,$2.18 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Blueberry 110g,$2.40,$2.18 / 100G
Yoplait Petit Miam Kids Yoghurt Pouch Strawberry 70g,$1.00,$1.43 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Tropical 110g,$2.40,$2.18 / 100G
