Product Name,Price,Price per Unit
Fresh Fodder Hommous Dip 200g,$5.40,$2.70 / 100G
Fresh Fodder Tzatziki 200g,$5.40,$2.70 / 100G
Fresh Fodder Taramosalata 200g,$5.40,$2.70 / 100G
Red Rock Deli Classics Sweet Chilli & Sour Cream 190g,$4.40,$2.32 / 100G
Macro Firm Tofu 450g,$3.00,$6.67 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
K R Castlemaine Hungarian Salami Mild Sliced From The Deli Per Kg,$34.50,$34.50 / 1KG
Ingham's Oven Roasted Turkey Breast Sliced From The Deli Per Kg,$30.00,$30.00 / 1KG
Mayfair Hungarian Salami Mild 100g,$2.20,$22.00 / 1KG
D'orsogna Tasty Sticks Mild From The Deli Per Kg,$33.50,$33.50 / 1KG
Obela Classic Guacamole 220g,$5.50,$2.50 / 100G
Obela Tzatziki Dip Classic 220g,$5.00,$2.27 / 100G
Obela Sweet Beetroot Garnished Hommus 220g,$5.00,$2.27 / 100G
Obela Hommus Garnished With Zesty Jalapenos 220g,$5.00,$2.27 / 100G
Ingham's Oven Roasted Turkey Breast Shaved From The Deli Per Kg,$30.00,$30.00 / 1KG
Bertocchi Soppressa Salami Hot Sliced From The Deli Per Kg,$36.00,$36.00 / 1KG
Macro Satay Tofu 200g,$4.50,$22.50 / 1KG
Bertocchi Soppressa Salami Mild Sliced From The Deli Per Kg,$36.00,$36.00 / 1KG
Macro Classic Tofu Regular 300g,$2.30,$7.67 / 1KG
Woolworths Corned Beef Shaved Per Kg,$25.00,$25.00 / 1KG
Macro Silken Tofu 300g,$2.30,$7.67 / 1KG
Primo Danish Salami Mild Shaved From The Deli Per Kg,$31.00,$31.00 / 1KG
D'orsogna Tasty Sticks Mild 200g,$7.40,$37.00 / 1KG
Primo Danish Salami 80g,$3.70,$46.25 / 1KG
Primo Turkey Breast 80g,$3.70,$46.25 / 1KG
Krc Hungarian Salami Mild Shaved From The Deli Per Kg,$34.50,$34.50 / 1KG
D'orsogna Hungarian Salami 4 Pack,$7.40,$30.83 / 1KG
Macro Honey Soy Tofu 200g,$4.50,$22.50 / 1KG
Woolworths Corned Beef Sliced From The Deli Per Kg,$25.00,$25.00 / 1KG
Hans Striker Salami Sticks 15g,$0.95,$63.33 / 1KG
D'orsogna Deli Fresh Mild Salami 80g,$2.80,$35.00 / 1KG
K R Castlemaine Hungarian Salami Hot Sliced From The Deli Per Kg,$34.50,$34.50 / 1KG
Fresh Fodder Hommous Dip 200g,$5.40,$2.70 / 100G
Fresh Fodder Tzatziki 200g,$5.40,$2.70 / 100G
Fresh Fodder Taramosalata 200g,$5.40,$2.70 / 100G
Red Rock Deli Classics Sweet Chilli & Sour Cream 190g,$4.40,$2.32 / 100G
Macro Firm Tofu 450g,$3.00,$6.67 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
K R Castlemaine Hungarian Salami Mild Sliced From The Deli Per Kg,$34.50,$34.50 / 1KG
Ingham's Oven Roasted Turkey Breast Sliced From The Deli Per Kg,$30.00,$30.00 / 1KG
Mayfair Hungarian Salami Mild 100g,$2.20,$22.00 / 1KG
D'orsogna Tasty Sticks Mild From The Deli Per Kg,$33.50,$33.50 / 1KG
Obela Classic Guacamole 220g,$5.50,$2.50 / 100G
Obela Tzatziki Dip Classic 220g,$5.00,$2.27 / 100G
Obela Sweet Beetroot Garnished Hommus 220g,$5.00,$2.27 / 100G
Obela Hommus Garnished With Zesty Jalapenos 220g,$5.00,$2.27 / 100G
Ingham's Oven Roasted Turkey Breast Shaved From The Deli Per Kg,$30.00,$30.00 / 1KG
Bertocchi Soppressa Salami Hot Sliced From The Deli Per Kg,$36.00,$36.00 / 1KG
Macro Satay Tofu 200g,$4.50,$22.50 / 1KG
Bertocchi Soppressa Salami Mild Sliced From The Deli Per Kg,$36.00,$36.00 / 1KG
Macro Classic Tofu Regular 300g,$2.30,$7.67 / 1KG
Woolworths Corned Beef Shaved Per Kg,$25.00,$25.00 / 1KG
Macro Silken Tofu 300g,$2.30,$7.67 / 1KG
