Product Name,Price,Price per Unit
Monster Energy Ultra Multipack Cans 500ml X4 Pack,$7.22,$3.61 / 1L
Monster Energy Ultra Fiesta Mango Flavour Cans 500ml X4 Pack,$7.22,$3.61 / 1L
Monster Energy Ultra Gold Cans 500ml X 4 Pack,$7.22,$3.61 / 1L
Monster Energy Ultra Rosa Multipack Cans 500ml X4 Pack,$7.22,$3.61 / 1L
Woolworths Spring Water Bottles 600ml X24 Pack,$9.75,$0.68 / 1L
Woolworths Soda Water 1.25l,$1.10,$0.88 / 1L
Woolworths Spring Water 6x1.5l Bottles,$5.20,$0.58 / 1L
Schweppes Soda Water 1.1l,$2.80,$2.55 / 1L
Schweppes Indian Tonic Water Zero Sugar 1.1l,$2.80,$2.55 / 1L
Woolworths Lightly Sparkling Spring Water 500ml X 20 Pack,$12.00,$1.20 / 1L
Monster Energy Green Multipack Cans 500ml X4 Pack,$7.22,$3.61 / 1L
Monster Energy Juice Mango Loco 500ml X4 Pack,$7.22,$3.61 / 1L
Harris Coffee Beans Very Strong 1kg,$26.00,$2.60 / 100G
Harris Coffee Beans Strong 1kg,$26.00,$2.60 / 100G
Frantelle Still Spring Water 24x600ml,$13.50,$0.94 / 1L
Nu Pure Still Spring Water 20x600ml,$9.50,$0.79 / 1L
Woolworths Spring Water 1.5l Bottle,$0.90,$0.60 / 1L
Woolworths Sparkling Mineral Water 1.25l,$1.10,$0.88 / 1L
Schweppes Indian Tonic Water 1.1l,$2.80,$2.55 / 1L
Australian Mountain Waters Natural Spring Water 10l,$6.40,$0.64 / 1L
Woolworths Lightly Sparkling Spring Water 1.25l,$1.60,$1.28 / 1L
Schweppes Indian Tonic Water 300ml X4 Pack,$5.00,$4.17 / 1L
Woolworths Uht Full Cream Milk 1l,$1.60,$1.60 / 1L
Pureau Pure Water Water 10l,$9.60,$0.96 / 1L
Schweppes Soda Water 300ml X4 Pack,$5.00,$4.17 / 1L
Woolworths Spring Water 12x600ml,$5.00,$0.69 / 1L
Woolworths Tonic Water 1.25l,$1.10,$0.88 / 1L
Sprite Lemonade Soft Drink Bottle 1.25l,$3.55,$2.84 / 1L
Woolworths Spring Water Minis 20x250ml,$6.80,$1.36 / 1L
Woolworths Diet Tonic Water 1.25l,$1.10,$0.88 / 1L
Pauls Zymil Lactose Free Full Cream Long Life Milk 1l,$3.00,$3.00 / 1L
Solo Lemon Cans 30x375ml Pack,$26.00,$2.31 / 1L
Monster Energy Ultra Multipack Cans 500ml X4 Pack,$7.22,$3.61 / 1L
Monster Energy Ultra Fiesta Mango Flavour Cans 500ml X4 Pack,$7.22,$3.61 / 1L
Monster Energy Ultra Gold Cans 500ml X 4 Pack,$7.22,$3.61 / 1L
Monster Energy Ultra Rosa Multipack Cans 500ml X4 Pack,$7.22,$3.61 / 1L
Woolworths Spring Water Bottles 600ml X24 Pack,$9.75,$0.68 / 1L
Woolworths Soda Water 1.25l,$1.10,$0.88 / 1L
Woolworths Spring Water 6x1.5l Bottles,$5.20,$0.58 / 1L
Schweppes Soda Water 1.1l,$2.80,$2.55 / 1L
Schweppes Indian Tonic Water Zero Sugar 1.1l,$2.80,$2.55 / 1L
Woolworths Lightly Sparkling Spring Water 500ml X 20 Pack,$12.00,$1.20 / 1L
