Product Name,Price,Price per Unit
Juicies Tropical Frozen 10 Pack,$8.50,$0.85 / 100ML
Dr. Oetker Ristorante Mozzarella Pizza Gluten Free 370g,$10.00,$2.70 / 100G
Findus Crumbed Fish Fingers 840g,$12.00,$14.29 / 1KG
Findus Battered Fish Fillets 200g,$4.50,$22.50 / 1KG
Bell Farms Chopped Spinach 250g,$0.95,$3.80 / 1KG
Woolworths Potato Wedges 750g,$4.20,$5.60 / 1KG
Four'n Twenty Sausage Roll Jumbo 6 Pack,$7.50,$1.07 / 100G
Woolworths Party Sausage Rolls 24 Pack,$6.80,$0.76 / 100G
Ingham's Frozen Turkey Ready To Roast Traditional 1kg,$18.00,$18.00 / 1KG
Ho Mai Spring Rolls Cocktail 1kg,$10.00,$1.00 / 100G
Sara Lee Blueberry Danish 400g,$8.50,$2.13 / 100G
Sara Lee French Cream Cheesecake 360g,$8.50,$2.36 / 100G
Sara Lee Chocolate Swirl Bavarian 375g,$8.50,$2.27 / 100G
Mccain Pub Style Potato Wedges 750g,$4.80,$6.40 / 1KG
Steggles Chicken Breast Fingers 1kg,$12.00,$12.00 / 1KG
Ocean Chef Salmon Portions Skin On 1kg,$29.50,$29.50 / 1KG
Woolworths Winter Veg Mix 1kg,$5.00,$5.00 / 1KG
Mccain Superfries Shoestring 900g,$4.50,$5.00 / 1KG
Patties Sausage Roll Party 450g,$9.50,$2.11 / 100G
Woolworths Frozen Strawberries 500g,$6.20,$12.40 / 1KG
Weis Ice Cream & Fruit Bar Mango & Cream 70ml X 4 Pack,$9.50,$3.39 / 100ML
Mccain Beer Batter Wedges 750g,$4.00,$5.33 / 1KG
Macro Organic Chopped Spinach Leaf Portions 450g,$5.00,$11.11 / 1KG
Just Caught Atlantic Salmon Skinless 1kg,$29.00,$29.00 / 1KG
Marathon Spring Rolls 4 Pack,$5.00,$0.78 / 100G
Weight Watchers Classic Beef Bolognese Frozen Meal 320g,$4.00,$1.25 / 100G
"Birds Eye Steam Fresh Broccoli, Carrots & Corn 750g",$5.50,$7.33 / 1KG
Trang's Pastry Spring Roll Sheets 300g,$2.90,$0.97 / 100G
Woolworths Party Pies 24 Pack,$6.50,$0.58 / 100G
"Heinz Steam Fresh Vegetables Frozen Veg Carrots, Corn & Broccoli 450g",$4.50,$10.00 / 1KG
Juicies Tropical Frozen 10 Pack,$8.50,$0.85 / 100ML
Dr. Oetker Ristorante Mozzarella Pizza Gluten Free 370g,$10.00,$2.70 / 100G
Findus Crumbed Fish Fingers 840g,$12.00,$14.29 / 1KG
Findus Battered Fish Fillets 200g,$4.50,$22.50 / 1KG
Bell Farms Chopped Spinach 250g,$0.95,$3.80 / 1KG
Woolworths Potato Wedges 750g,$4.20,$5.60 / 1KG
Four'n Twenty Sausage Roll Jumbo 6 Pack,$7.50,$1.07 / 100G
Woolworths Party Sausage Rolls 24 Pack,$6.80,$0.76 / 100G
Ingham's Frozen Turkey Ready To Roast Traditional 1kg,$18.00,$18.00 / 1KG
Ho Mai Spring Rolls Cocktail 1kg,$10.00,$1.00 / 100G
Sara Lee Blueberry Danish 400g,$8.50,$2.13 / 100G
Sara Lee French Cream Cheesecake 360g,$8.50,$2.36 / 100G
Sara Lee Chocolate Swirl Bavarian 375g,$8.50,$2.27 / 100G
Mccain Pub Style Potato Wedges 750g,$4.80,$6.40 / 1KG
Steggles Chicken Breast Fingers 1kg,$12.00,$12.00 / 1KG
Ocean Chef Salmon Portions Skin On 1kg,$29.50,$29.50 / 1KG
Woolworths Winter Veg Mix 1kg,$5.00,$5.00 / 1KG
Mccain Superfries Shoestring 900g,$4.50,$5.00 / 1KG
Patties Sausage Roll Party 450g,$9.50,$2.11 / 100G
Woolworths Frozen Strawberries 500g,$6.20,$12.40 / 1KG
Weis Ice Cream & Fruit Bar Mango & Cream 70ml X 4 Pack,$9.50,$3.39 / 100ML
Mccain Beer Batter Wedges 750g,$4.00,$5.33 / 1KG
Macro Organic Chopped Spinach Leaf Portions 450g,$5.00,$11.11 / 1KG
Just Caught Atlantic Salmon Skinless 1kg,$29.00,$29.00 / 1KG
Marathon Spring Rolls 4 Pack,$5.00,$0.78 / 100G
Weight Watchers Classic Beef Bolognese Frozen Meal 320g,$4.00,$1.25 / 100G
"Birds Eye Steam Fresh Broccoli, Carrots & Corn 750g",$5.50,$7.33 / 1KG
Trang's Pastry Spring Roll Sheets 300g,$2.90,$0.97 / 100G
Woolworths Party Pies 24 Pack,$6.50,$0.58 / 100G
"Heinz Steam Fresh Vegetables Frozen Veg Carrots, Corn & Broccoli 450g",$4.50,$10.00 / 1KG
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
