Product Name,Price,Price per Unit
Yankee Candle Home Inspiration Vanilla Frosting 340g,$20.00,
Yankee Candle Home Inspiration Sugared Blossom 340g,$20.00,
Yankee Candle Home Inspiration Pink Island Sunset Candle Jar 340g,$20.00,
Yankee Candle Yankee Seasonal Jar Wild Daisy Meadow 340g,$20.00,
Essentials Serviettes White 1 Ply 100 Pack,$0.95,$0.01 / 1EA
Essentials Serviettes White 1 Ply 500 Pack,$3.50,$0.01 / 1EA
Korbond Wooden Party Toothpicks 450 Pack,$3.50,$0.78 / 100EA
Mint Tongs 22cm 2 Pack,$3.50,
Sellotape Sticky Tape Refill 18mmx25m 2 Pack,$3.95,
Armada Lunch Serviettes White 2 Ply 50 Pack,$1.04,$0.02 / 1EA
Bic 4 Colours Limited Edition 3 Pack,$5.00,
Bic 4 Colour Original Retractable Ballpoint Pen 3 Pack,$4.50,
Bic 4 Colour Shine Ballpoint Pens 3 Pack,$5.00,
"Expo Whiteboard Marker Pens Chisel Tip, Vibrant Colours 12 Pack",$26.00,
Essentials Wooden Spoons 50 Pack,$4.50,$9.00 / 100EA
Armada Paper Straws Striped 100 Pack,$4.00,$0.04 / 1EA
Mint Toothpicks Holder 300 Pack,$4.00,
Mint Bamboo Skewer 16cm 100 Pack,$2.00,
Sistema Ultra Tritan Canister Square 460ml Each,$7.50,
Sistema Ultra Tritan Canister Square 920ml Each,$11.00,
Mint Bamboo Skewer 25cm 200 Pack,$3.00,
Sistema Ultra Tritan Canister Square 1.3l Each,$14.00,
Home Essentials Kitchen Manchester Cotton Tea Towel Set 5 Pack,$6.00,$1.20 / 1EA
Essentials Tape Sticky Dispenser 18x25m Each,$2.50,
Deeko Extra Thick Serviette 1ply 75 Pack,$3.00,$0.04 / 1EA
Mint Silicone Tongs 2 Pack,$7.00,
Armada Dinner Serviettes White 2 Ply 50 Pack,$4.50,$0.09 / 1EA
Essentials Paper Straws White 30 Pack,$1.20,
Mint Stainless Steel Teaspoon 4 Pack,$6.00,
Paperclick Scissors Soft Grip Each,$4.00,
