Product Name,Price,Price per Unit
Petaluma Croser Sparkling Vintage 750ml,$48.00,
Brand's Laira Coonawarra Blockers Cabernet Sauvignon 750ml,$25.00,
Arras Non Vintage Premium Cuvee 750ml,$27.00,
Peter Lehmann Shiraz 750ml,$20.00,
Smirnoff Red Vodka 1l,$75.00,
Riverside Landing Sauvignon Blanc 750ml,$4.50,
Smirnoff Red Vodka 700ml,$44.00,
Absolut Vodka 1l,$72.00,
Ruskov Vodka 700ml,$45.00,
Yellowglen Colours Sparkling Yellow Non Vintage 750ml,$9.00,
Yellow Tail Sparkling Bubbles 750ml,$8.00,
Berri Estates Cask Wine Dry White 5l,$22.00,
Berri Estates Cask Wine Dolce Rosso 5l,$22.00,
Banrock Station Cask Wine Sauvignon Blanc 2l,$15.00,
Koa Cove Margaret River Semillion Sauvignon Blanc 750ml,$7.00,
Riverside Landing Shiraz 750ml,$4.50,
Annie's Lane Shiraz 750ml,$16.00,
Yellow Tail White Varietal Semillon Sauvignon Blanc 750ml,$8.00,
Xxxx Gold Mid Strength Lager Cans 375ml X 30 Case,$56.00,
Riverside Landing Chardonnay 750ml,$4.50,
Absolut Vodka 700ml,$50.00,
Chancellor & Co Sparkling Brut Cuvee Sparkling 750ml,$6.00,
Victoria Bitter Lager Bottles 375ml X 24 Case,$58.00,
Baily & Baily Silhouette Sauvignon Blanc 1l,$8.00,
Yellow Tail Shiraz 750ml,$8.00,
Gossips White Varietal Semillon Sauvignon Blanc 750ml,$5.50,
Victoria Bitter Lager Cans 375ml X 30 Case,$65.00,
Wolf Blass Sparkling Red Brut Chardonnay Pinot Nv 750ml,$9.00,
Chancellor & Co Shiraz 750ml,$5.00,
Tooheys New Lager Cans 375ml X 30 Case,$59.00,
Petaluma Croser Sparkling Vintage 750ml,$48.00,
Brand's Laira Coonawarra Blockers Cabernet Sauvignon 750ml,$25.00,
Arras Non Vintage Premium Cuvee 750ml,$27.00,
Peter Lehmann Shiraz 750ml,$20.00,
Smirnoff Red Vodka 1l,$75.00,
Riverside Landing Sauvignon Blanc 750ml,$4.50,
Smirnoff Red Vodka 700ml,$44.00,
Absolut Vodka 1l,$72.00,
Ruskov Vodka 700ml,$45.00,
Yellowglen Colours Sparkling Yellow Non Vintage 750ml,$9.00,
Yellow Tail Sparkling Bubbles 750ml,$8.00,
Berri Estates Cask Wine Dry White 5l,$22.00,
Berri Estates Cask Wine Dolce Rosso 5l,$22.00,
Banrock Station Cask Wine Sauvignon Blanc 2l,$15.00,
Koa Cove Margaret River Semillion Sauvignon Blanc 750ml,$7.00,
Riverside Landing Shiraz 750ml,$4.50,
Annie's Lane Shiraz 750ml,$16.00,
