Product Name,Price,Price per Unit
Thirst Trap Spring Water Cans 500ml X 4 Pack,$7.50,$3.75 / 1L
Philadelphia Original Cream Cheese Spread Tub 250g,$5.70,$22.80 / 1KG
Chris' Dips French Onion 60g X3 Pack,$3.00,$1.67 / 100G
Tip Top Sandwich Thins Wholemeal Bread 6 Pack,$3.00,$1.25 / 100G
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Tomato Roma Red Each,$0.80,$0.80 / 1EA
Woolworths Red Watermelon Cut Quarter Each,$6.38,$6.38 / 1EA
Woolworths Solanato Tomato Punnet 200g,$4.50,$22.50 / 1KG
Woolworths Baby Leaf Spinach 120g,$3.00,$25.00 / 1KG
Woolworths Baby Spinach Spinach 280g,$5.00,$17.86 / 1KG
Woolworths Spring Water Bottles 600ml X24 Pack,$9.75,$0.68 / 1L
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Woolworths Baby Spinach 60g,$2.00,$33.33 / 1KG
Vegemite Spread 560g,$9.40,$1.68 / 100G
Woolworths Strawberry Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Mission Wraps Original 8 Pack,$5.50,$0.97 / 100G
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Arnott's Salada Original Crispbreads Crispbreads Original 250g,$3.00,$1.20 / 100G
Woolworths Vanilla Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Vegemite Spread 380g,$7.30,$1.92 / 100G
Woolworths Baby Rocket 60g,$2.00,$33.33 / 1KG
Woolworths Banana Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Vegemite Spread 280g,$6.20,$2.21 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Vanilla 140g,$2.40,$1.71 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Strawberry 140g,$2.40,$1.71 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Strawberry 110g,$2.40,$2.18 / 100G
Thirst Trap Spring Water Cans 500ml X 4 Pack,$7.50,$3.75 / 1L
Philadelphia Original Cream Cheese Spread Tub 250g,$5.70,$22.80 / 1KG
Chris' Dips French Onion 60g X3 Pack,$3.00,$1.67 / 100G
Tip Top Sandwich Thins Wholemeal Bread 6 Pack,$3.00,$1.25 / 100G
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Tomato Roma Red Each,$0.80,$0.80 / 1EA
Woolworths Red Watermelon Cut Quarter Each,$6.38,$6.38 / 1EA
Woolworths Solanato Tomato Punnet 200g,$4.50,$22.50 / 1KG
Woolworths Baby Leaf Spinach 120g,$3.00,$25.00 / 1KG
Woolworths Baby Spinach Spinach 280g,$5.00,$17.86 / 1KG
Woolworths Spring Water Bottles 600ml X24 Pack,$9.75,$0.68 / 1L
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Woolworths Baby Spinach 60g,$2.00,$33.33 / 1KG
Vegemite Spread 560g,$9.40,$1.68 / 100G
Woolworths Strawberry Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Mission Wraps Original 8 Pack,$5.50,$0.97 / 100G
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Arnott's Salada Original Crispbreads Crispbreads Original 250g,$3.00,$1.20 / 100G
Woolworths Vanilla Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Vegemite Spread 380g,$7.30,$1.92 / 100G
Woolworths Baby Rocket 60g,$2.00,$33.33 / 1KG
Woolworths Banana Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Vegemite Spread 280g,$6.20,$2.21 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Vanilla 140g,$2.40,$1.71 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Strawberry 140g,$2.40,$1.71 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Strawberry 110g,$2.40,$2.18 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Vanilla 110g,$2.40,$2.18 / 100G
Tamar Valley Dairy Kids Greek Yoghurt Pouch Blueberry 110g,$2.40,$2.18 / 100G
Mission Wraps Wholegrain 8 Pack 567g,$5.50,$0.97 / 100G
Hass Avocado Each,$1.80,$1.80 / 1EA
Frantelle Still Spring Water 24x600ml,$13.50,$0.94 / 1L
Nu Pure Still Spring Water 20x600ml,$9.50,$0.79 / 1L
Arnott's Shapes Multipack Crackers Variety 15 Pack,$5.50,$1.47 / 100G
Yoplait Petit Miam Kids Yoghurt Pouch Strawberry 70g,$1.00,$1.43 / 100G
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Tamar Valley Dairy Kids Greek Yoghurt Pouch Tropical 110g,$2.40,$2.18 / 100G
Woolworths Baby Mixed Leaf Salad 300g,$5.00,$16.67 / 1KG
Arnott's Tiny Teddy Variety Multipack Biscuits 15 Pack,$5.50,$1.47 / 100G
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Tamar Valley Dairy Kids Greek Yoghurt Pouch Raspberry 110g,$2.40,$2.18 / 100G
Woolworths Bread Rolls Extra Soft Lunch 6 Pack,$2.65,$0.44 / 1EA
Tip Top Sandwich Thins Wholemeal Bread 6 Pack,$3.00,$1.25 / 100G
Yopro Danone High Protein Yoghurt No Added Sugar Vanilla 160g,$2.20,$1.38 / 100G
Vegemite Spread 150g,$4.00,$2.67 / 100G
Woolworths Baby Leaf Beetroot Salad With Beetroot Bag 180g,$4.00,$22.22 / 1KG
Fresh Rockmelon Whole Each,$6.90,$6.90 / 1EA
Twisties Cheese Flavoured Snacks Multipack (6 Pack) 114g,$4.50,$3.95 / 100G
Sakata Rice Crackers Plain 100g,$2.30,$2.30 / 100G
Woolworths Yoghurt Pouch Blueberry 70g,$0.75,$1.07 / 100G
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Iceberg Lettuce Each,$2.90,$2.90 / 1EA
Fresh Blueberries Punnet 125g,$4.00,$32.00 / 1KG
Arnott's Sao Crackers Biscuits Original 250g,$3.50,$1.40 / 100G
Woolworths Continental Cucumbers Each,$2.50,$2.50 / 1EA
Sunbeam Australian Sultanas 6 Pack,$3.50,$14.58 / 1KG
Woolworths Spring Water 12x600ml,$5.00,$0.69 / 1L
Vaalia Kids Probiotic Yoghurt Pouch Tropical 140g,$2.40,$1.71 / 100G
Mission Wraps Mini Original 8 Pack,$5.50,$1.43 / 100G
Farmers Union Greek Style Yoghurt Pouch Strawberry 130g,$1.80,$1.38 / 100G
Woolworths Leafy Mix Salad 120g,$2.20,$18.33 / 1KG
Infuzions Veggie Straws 5 Pack,$4.00,$5.33 / 100G
Arnott's Vita Weat 9 Grain Crispbreads 9 Grain 250g,$4.00,$1.60 / 100G
Woolworths Wholemeal Soft Sandwich Bread 650g,$2.70,$0.42 / 100G
Primo Danish Salami 80g,$3.70,$46.25 / 1KG
Vaalia Kids Probiotic Yoghurt Pouch Banana 140g,$2.40,$1.71 / 100G
Primo Turkey Breast 80g,$3.70,$46.25 / 1KG
Wonder White Wholemeal With Iron Sandwich Slice 700g,$4.40,$0.63 / 100G
Yopro Danone High Protein Yoghurt No Added Sugar Strawberry 160g,$2.20,$1.38 / 100G
Western Star Original Spreadable 500g,$7.50,$1.50 / 100G
Wonder White Bread Vitamins & Minerals Sandwich 700g,$4.40,$0.63 / 100G
Farmers Union Greek Style Yogurt Pouch Real Vanilla Bean 130g,$1.80,$1.38 / 100G
Sakata Rice Crackers Seaweed 90g,$2.30,$2.56 / 100G
Yoplait Petit Miam Kids Yoghurt Pouch Vanilla 70g,$1.00,$1.43 / 100G
Yoplait Petit Miam Kids Yoghurt Pouch Blueberry 70g,$1.00,$1.43 / 100G
Onion Red Each,$0.66,$0.66 / 1EA
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Iceberg Lettuce Each,$2.90,$2.90 / 1EA
Fresh Blueberries Punnet 125g,$4.00,$32.00 / 1KG
