Product Name,Price,Price per Unit
Harris Coffee Beans Strong 1kg,$26.00,$2.60 / 100G
Harris Coffee Ground Very Strong 200g,$9.50,$4.75 / 100G
Harris Coffee Beans Smooth 1kg,$26.00,$2.60 / 100G
Harris Coffee Beans Very Strong 1kg,$26.00,$2.60 / 100G
Woolworths Diced Italian Tomatoes 400g,$1.10,$2.75 / 1KG
Essentials White Vinegar 2l,$1.70,$0.09 / 100ML
Sanitarium Weet-bix Breakfast Cereal 1.2kg,$6.00,$0.50 / 100G
Sirena Tuna In Oil Italian Style 95g,$2.30,$24.21 / 1KG
Essentials White Sugar 2kg,$2.20,$0.11 / 100G
John West Tuna Tempter Chunky Springwater 95g,$2.70,$28.42 / 1KG
Harris Coffee Ground Smooth 200g,$9.50,$4.75 / 100G
Harris Coffee Ground Smooth 1kg,$26.00,$2.60 / 100G
Harris Coffee Ground Strong 1kg,$26.00,$2.60 / 100G
Pure Delish Macadamia & Vanilla Nut Crunch 375g,$15.00,$4.00 / 100G
Essentials Tuna Chunks In Spring Water 425g,$3.50,$8.24 / 1KG
Essentials White Sugar 1kg,$1.70,$0.17 / 100G
Woolworths Pasta Spaghetti 500g,$1.00,$0.20 / 100G
Masterfoods Tomato Sauce 500ml,$2.50,$0.50 / 100ML
Vegemite Spread 560g,$9.40,$1.68 / 100G
Woolworths Tomato Sauce Squeeze 500ml,$2.00,$0.40 / 100ML
Woolworths Tuna In Oil 95g,$1.10,$11.58 / 1KG
Woolworths Tuna In Springwater 95g,$1.10,$11.58 / 1KG
Vegemite Spread 380g,$7.30,$1.92 / 100G
Woolworths Sultanas 1kg,$5.00,$5.00 / 1KG
Woolworths White Rice Long Grain 1kg,$1.40,$0.14 / 100G
John West Tempters Tuna Lemon & Cracked Pepper 95g,$2.70,$28.42 / 1KG
Ardmona Diced Vine Ripened Tomatoes 400g,$1.80,$4.50 / 1KG
Vegemite Spread 280g,$6.20,$2.21 / 100G
Mission Street Mini Tacos 10 Pack,$3.30,$0.88 / 100G
Woolworths Tomato Soup 420g,$1.10,$0.26 / 100G
Essentials Table Salt 1kg,$2.50,$0.03 / 10G
Old El Paso Taco Spice Mix Taco Spice Mix 30g,$2.40,$8.00 / 100G
Harris Coffee Beans Strong 1kg,$26.00,$2.60 / 100G
Harris Coffee Ground Very Strong 200g,$9.50,$4.75 / 100G
Harris Coffee Beans Smooth 1kg,$26.00,$2.60 / 100G
Harris Coffee Beans Very Strong 1kg,$26.00,$2.60 / 100G
Woolworths Diced Italian Tomatoes 400g,$1.10,$2.75 / 1KG
Essentials White Vinegar 2l,$1.70,$0.09 / 100ML
Sanitarium Weet-bix Breakfast Cereal 1.2kg,$6.00,$0.50 / 100G
Sirena Tuna In Oil Italian Style 95g,$2.30,$24.21 / 1KG
Essentials White Sugar 2kg,$2.20,$0.11 / 100G
John West Tuna Tempter Chunky Springwater 95g,$2.70,$28.42 / 1KG
Harris Coffee Ground Smooth 200g,$9.50,$4.75 / 100G
Harris Coffee Ground Smooth 1kg,$26.00,$2.60 / 100G
Harris Coffee Ground Strong 1kg,$26.00,$2.60 / 100G
Pure Delish Macadamia & Vanilla Nut Crunch 375g,$15.00,$4.00 / 100G
Essentials Tuna Chunks In Spring Water 425g,$3.50,$8.24 / 1KG
Essentials White Sugar 1kg,$1.70,$0.17 / 100G
Woolworths Pasta Spaghetti 500g,$1.00,$0.20 / 100G
Masterfoods Tomato Sauce 500ml,$2.50,$0.50 / 100ML
Vegemite Spread 560g,$9.40,$1.68 / 100G
Woolworths Tomato Sauce Squeeze 500ml,$2.00,$0.40 / 100ML
Woolworths Tuna In Oil 95g,$1.10,$11.58 / 1KG
Woolworths Tuna In Springwater 95g,$1.10,$11.58 / 1KG
Vegemite Spread 380g,$7.30,$1.92 / 100G
Woolworths Sultanas 1kg,$5.00,$5.00 / 1KG
Woolworths White Rice Long Grain 1kg,$1.40,$0.14 / 100G
John West Tempters Tuna Lemon & Cracked Pepper 95g,$2.70,$28.42 / 1KG
Ardmona Diced Vine Ripened Tomatoes 400g,$1.80,$4.50 / 1KG
Vegemite Spread 280g,$6.20,$2.21 / 100G
Mission Street Mini Tacos 10 Pack,$3.30,$0.88 / 100G
Woolworths Tomato Soup 420g,$1.10,$0.26 / 100G
Essentials Table Salt 1kg,$2.50,$0.03 / 10G
Old El Paso Taco Spice Mix Taco Spice Mix 30g,$2.40,$8.00 / 100G
Woolworths Tortillas 10 Pack,$3.50,$0.76 / 100G
Sanitarium Weet-bix Breakfast Cereal 575g,$4.40,$0.77 / 100G
John West Tempters Tuna Chilli 95g,$2.70,$28.42 / 1KG
Woolworths Tomato Sauce 2l,$5.30,$0.27 / 100ML
Greenseas Tuna Tomato & Onion 95g,$2.60,$27.37 / 1KG
John West Tuna Olive Oil Blend 95g,$2.70,$28.42 / 1KG
Woolworths Sundried Tomato Strips 270g,$2.65,$0.98 / 100G
Old El Paso Hard 'n Soft Taco Kit Mexican Style 350g,$9.50,$2.71 / 100G
Annalisa Tomatoes Diced 400g,$1.70,$4.25 / 1KG
Woolworths Sesame Seeds 100g,$1.10,$11.00 / 1KG
Woolworths Taco Seasoning Mix 35g,$1.40,$4.00 / 100G
Woolworths Diced Italian Tomatoes 800g,$2.00,$0.25 / 100G
Essentials White Sugar 3kg,$4.80,$0.16 / 100G
Woolworths Tuna Sweet Chilli 95g,$1.10,$11.58 / 1KG
Woolworths Burrito Tortillas 15 Pack,$4.50,$0.65 / 100G
John West Tuna In Springwater 425g,$5.50,$12.94 / 1KG
Woolworths Tuna Mayonnaise & Corn 95g,$1.10,$11.58 / 1KG
San Remo Thin Spaghetti No. 4 500g,$2.30,$0.46 / 100G
Csr White Sugar 1kg,$2.20,$0.22 / 100G
Macro Organic Tomatoes Diced No Added Salt 400g,$1.80,$4.50 / 1KG
Woolworths Thyme Fresh Herb 10g Punnet,$3.20,$3.20 / 10G
Deep Cove Sardines In Springwater 125g,$0.90,$7.20 / 1KG
Essentials Pasta Spaghetti 500g,$0.90,$0.18 / 100G
Fountain Soy Sauce 250ml,$3.00,$1.20 / 100ML
Woolworths Diced Italian Tomatoes 400g,$1.10,$2.75 / 1KG
Doritos Corn Chips Cheese Supreme Share Pack 170g,$4.80,$2.82 / 100G
Masterfoods Tomato Sauce 500ml,$2.50,$0.50 / 100ML
Arnott's Tim Tam Original Chocolate Biscuits 200g,$4.50,$2.25 / 100G
Arnott's Salada Original Crispbreads Crispbreads Original 250g,$3.00,$1.20 / 100G
Woolworths Rolled Traditional Oats 750g,$1.40,$0.19 / 100G
Cadbury Dairy Milk Chocolate Block 180g,$5.50,$3.06 / 100G
Woolworths White Rice Long Grain 1kg,$1.40,$0.14 / 100G
Essentials Raw Sugar 1kg,$1.80,$0.18 / 100G
Woolworths Vegetable Liquid Stock 1l,$1.90,$0.19 / 100ML
Barilla Pasta Spaghetti 500g,$3.50,$0.70 / 100G
Essentials Diced Tomatoes 400g,$0.97,$0.24 / 100G
Woolworths Walnuts Californian 450g,$9.00,$20.00 / 1KG
Safcol Responsibly Fished Tuna In Spring Water 425g,$4.65,$10.94 / 1KG
Sirena Tuna In Oil Italian Style 185g,$4.70,$25.41 / 1KG
Holbrooks Sauce Worcestershire 500ml,$5.00,$1.00 / 100ML
Sirena Tuna In Chilli Oil 95g,$2.30,$24.21 / 1KG
Lee Kum Kee Soy Sauce Premium 500ml,$4.30,$0.86 / 100ML
Essentials Tuna Chunks In Spring Water 185g,$1.80,$9.73 / 1KG
Woolworths Sea Salt Grinder 110g,$3.50,$0.32 / 10G
Sirena Tuna In Springwater 95g,$2.30,$24.21 / 1KG
Heinz Ketchup Tomato Sauce 500ml,$5.00,$1.00 / 100ML
Greenseas Tuna Chunks In Springwater 95g,$2.60,$27.37 / 1KG
Vegemite Spread 150g,$4.00,$2.67 / 100G
Woolworths Walnuts Californian 190g,$4.37,$23.00 / 1KG
Heinz Big Red Condensed Tomato Soup 420g,$2.00,$0.48 / 100G
Ardmona Crushed Vine Ripened Tomatoes 400g,$1.80,$4.39 / 1KG
Mutti Finely Chopped Tomatoes 400g,$2.30,$5.75 / 1KG
Pearl River Bridge Soy Sauce Superior Light 500ml,$3.30,$0.66 / 100ML
Woolworths Uht Full Cream Milk 1l,$1.60,$1.60 / 1L
Sirena Tuna In Oil Italian Style 425g,$7.50,$17.65 / 1KG
Woolworths Tuna Tomato And Onion 95g,$1.10,$11.58 / 1KG
Woolworths Diced Italian Tomatoes 400g,$1.10,$2.75 / 1KG
Doritos Corn Chips Cheese Supreme Share Pack 170g,$4.80,$2.82 / 100G
Masterfoods Tomato Sauce 500ml,$2.50,$0.50 / 100ML
Arnott's Tim Tam Original Chocolate Biscuits 200g,$4.50,$2.25 / 100G
Arnott's Salada Original Crispbreads Crispbreads Original 250g,$3.00,$1.20 / 100G
Woolworths Rolled Traditional Oats 750g,$1.40,$0.19 / 100G
Cadbury Dairy Milk Chocolate Block 180g,$5.50,$3.06 / 100G
Woolworths White Rice Long Grain 1kg,$1.40,$0.14 / 100G
Woolworths Diced Italian Tomatoes 400g,$1.10,$2.75 / 1KG
Doritos Corn Chips Cheese Supreme Share Pack 170g,$4.80,$2.82 / 100G
Masterfoods Tomato Sauce 500ml,$2.50,$0.50 / 100ML
Arnott's Tim Tam Original Chocolate Biscuits 200g,$4.50,$2.25 / 100G
Arnott's Salada Original Crispbreads Crispbreads Original 250g,$3.00,$1.20 / 100G
Woolworths Rolled Traditional Oats 750g,$1.40,$0.19 / 100G
Cadbury Dairy Milk Chocolate Block 180g,$5.50,$3.06 / 100G
Woolworths White Rice Long Grain 1kg,$1.40,$0.14 / 100G
Woolworths Diced Italian Tomatoes 400g,$1.10,$2.75 / 1KG
Doritos Corn Chips Cheese Supreme Share Pack 170g,$4.80,$2.82 / 100G
Masterfoods Tomato Sauce 500ml,$2.50,$0.50 / 100ML
Arnott's Tim Tam Original Chocolate Biscuits 200g,$4.50,$2.25 / 100G
Arnott's Salada Original Crispbreads Crispbreads Original 250g,$3.00,$1.20 / 100G
Woolworths Rolled Traditional Oats 750g,$1.40,$0.19 / 100G
Cadbury Dairy Milk Chocolate Block 180g,$5.50,$3.06 / 100G
Woolworths White Rice Long Grain 1kg,$1.40,$0.14 / 100G
Woolworths Diced Italian Tomatoes 400g,$1.10,$2.75 / 1KG
Doritos Corn Chips Cheese Supreme Share Pack 170g,$4.80,$2.82 / 100G
Masterfoods Tomato Sauce 500ml,$2.50,$0.50 / 100ML
Arnott's Tim Tam Original Chocolate Biscuits 200g,$4.50,$2.25 / 100G
Arnott's Salada Original Crispbreads Crispbreads Original 250g,$3.00,$1.20 / 100G
Woolworths Rolled Traditional Oats 750g,$1.40,$0.19 / 100G
Cadbury Dairy Milk Chocolate Block 180g,$5.50,$3.06 / 100G
Woolworths White Rice Long Grain 1kg,$1.40,$0.14 / 100G
Heinz Classic Creamy Tomato Soup Canned Vegetable Soup 535g,$2.20,$0.41 / 100G
