Product Name,Price,Price per Unit
Optimum Dog Treats Salmon & Chia 6 Pack,$6.00,$7.50 / 100G
Optimum Protein Bites Dog Treats Fish & Spinach 75g,$6.00,$8.00 / 100G
Farmers Market Adult Dry Dog Food Beef & Farm Vegetables 6.8kg,$40.00,$0.59 / 100G
Farmers Market Adult Dry Dog Food Beef With Airdried Inclusions 2.2kg,$21.00,$0.95 / 100G
Whiskas 1+ Years Wet Cat Food Beef Mince 400g Can,$2.60,$0.65 / 100G
Whiskas 1+ Years Wet Cat Food Chicken Mince 400g Can,$2.60,$0.65 / 100G
Whiskas 1+ Years Wet Cat Food Lamb Mince 400g Can,$2.60,$0.65 / 100G
Smitten Cat Food Mince Beef 400g,$1.75,$0.44 / 100G
Whiskas 1+ Years Wet Cat Food Ocean Fish Loaf 400g Can,$2.60,$0.65 / 100G
Whiskas 1+ Years Mixed Favourites In Jelly Wet Cat Food Pouch 85g X12 Pack,$12.00,$1.18 / 100G
Nature's Gift Adult Dry Dog Food With Kangaroo 6kg,$25.00,$0.42 / 100G
Farmers Market Adult Dry Dog Food Chicken & Farm Vegetables 6.8kg,$40.00,$0.59 / 100G
Farmers Market Adult Dry Dog Food Chicken W Airdried Inclusions 2.2kg,$21.00,$0.95 / 100G
Nature's Gift Adult Dry Dog Food With Beef 6kg,$25.00,$0.42 / 100G
Smitten Cat Food Mince Chicken & Turkey 400g,$1.75,$0.44 / 100G
Smitten Cat Food Tuna Mince 400g,$1.75,$0.44 / 100G
Smitten Cat Food Beef Lamb & Vegetables 1kg,$4.00,$0.40 / 100G
Schmackos Strapz Variety Pack Chicken Liver & Beef Dog Treats 500g,$11.00,$2.20 / 100G
Whiskas 1+ Years Wet Cat Food Chicken In Gravy Pouch 85g X12 Pack,$12.00,$1.18 / 100G
Smitten Kitten Food Chicken & Tuna 1kg,$4.00,$0.40 / 100G
Schmackos Strapz Beef Dog Treats 200g,$7.50,$3.75 / 100G
Smitten Kitten Food Chicken Mince 400g,$1.75,$0.44 / 100G
Smitten Cat Food Seafood Basket 400g,$1.75,$0.44 / 100G
Frankie & Friends Sunflower Seeds 1.5kg,$6.00,$0.40 / 100G
Whiskas 1+ Years Favourites Tuna In Jelly Wet Cat Food Pouch 85g X12 Pack,$12.00,$1.18 / 100G
Whiskas Chicken & Rabbit Adult Dry Cat Food 800g,$4.50,$0.56 / 100G
