Product Name,Price,Price per Unit
Market Value 24 Thin Beef Sausages 1.8kg,$12.00,$6.67 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Ingham's Oven Roasted Turkey Breast Sliced From The Deli Per Kg,$30.00,$30.00 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Woolworths Beef Sizzle Schnitzel 400g,$12.00,$30.00 / 1KG
Woolworths 8 Beef Sausages Honey Flavoured 600g,$7.00,$11.67 / 1KG
Woolworths 8 Pork Sausages 600g,$7.00,$11.67 / 1KG
Woolworths Beef Rump Steak Medallion Small 300g,$12.00,$40.00 / 1KG
Ingham's Oven Roasted Turkey Breast Shaved From The Deli Per Kg,$30.00,$30.00 / 1KG
Woolworths 10 Thin Beef Sausages 600g,$7.00,$11.67 / 1KG
Salmon Tasmanian Atlantic Fillets Skinned & Boned Per Kg,$46.00,$46.00 / 1KG
Woolworths Beef Rump Steak Medium 270g - 750g,$19.60,$28.00 / 1KG
Woolworths Corned Beef Silverside 1kg - 2.1kg,$20.00,$10.00 / 1KG
Woolworths 16 Beef Chipolatas 600g,$7.00,$11.67 / 1KG
Ocean Blue Smoked Salmon 300g,$18.00,$60.00 / 1KG
Woolworths Corned Beef Shaved Per Kg,$25.00,$25.00 / 1KG
Woolworths Salmon Portions Skin On 4 Pack,$15.00,$32.61 / 1KG
Tassal Smoked Salmon 250g,$17.50,$70.00 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Ocean Blue Smoked Salmon 100g,$6.90,$69.00 / 1KG
Chicken Schnitzel Crumbed Each,$3.70,$3.70 / 1EA
Ingham's Turkey Mince 500g,$6.50,$13.00 / 1KG
Woolworths Beef Rump Steak 250g,$7.00,$28.00 / 1KG
Market Value 24 Thin Beef Sausages 1.8kg,$12.00,$6.67 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Ingham's Oven Roasted Turkey Breast Sliced From The Deli Per Kg,$30.00,$30.00 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Woolworths Beef Sizzle Schnitzel 400g,$12.00,$30.00 / 1KG
Woolworths 8 Beef Sausages Honey Flavoured 600g,$7.00,$11.67 / 1KG
Woolworths 8 Pork Sausages 600g,$7.00,$11.67 / 1KG
Woolworths Beef Rump Steak Medallion Small 300g,$12.00,$40.00 / 1KG
Ingham's Oven Roasted Turkey Breast Shaved From The Deli Per Kg,$30.00,$30.00 / 1KG
Woolworths 10 Thin Beef Sausages 600g,$7.00,$11.67 / 1KG
Salmon Tasmanian Atlantic Fillets Skinned & Boned Per Kg,$46.00,$46.00 / 1KG
Woolworths Beef Rump Steak Medium 270g - 750g,$19.60,$28.00 / 1KG
Woolworths Corned Beef Silverside 1kg - 2.1kg,$20.00,$10.00 / 1KG
Woolworths 16 Beef Chipolatas 600g,$7.00,$11.67 / 1KG
Ocean Blue Smoked Salmon 300g,$18.00,$60.00 / 1KG
Woolworths Corned Beef Shaved Per Kg,$25.00,$25.00 / 1KG
Woolworths Salmon Portions Skin On 4 Pack,$15.00,$32.61 / 1KG
Tassal Smoked Salmon 250g,$17.50,$70.00 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Ocean Blue Smoked Salmon 100g,$6.90,$69.00 / 1KG
Chicken Schnitzel Crumbed Each,$3.70,$3.70 / 1EA
Ingham's Turkey Mince 500g,$6.50,$13.00 / 1KG
Woolworths Beef Rump Steak 250g,$7.00,$28.00 / 1KG
Woolworths Corned Beef Sliced From The Deli Per Kg,$25.00,$25.00 / 1KG
Tassal Atlantic Salmon Skin On 300g,$17.00,$56.67 / 1KG
Woolworths Cook Beef Pepper Steaks 300g,$8.00,$26.67 / 1KG
Tassal Atlantic Salmon Skin Off 300g,$18.00,$60.00 / 1KG
Woolworths Beef Scotch Fillet Steak Medium 250g - 650g,$27.95,$43.00 / 1KG
Chicken Thigh Fillet Per Kg,$13.50,$13.50 / 1KG
Tassal Hot Smoked Salmon Natural 150g,$13.00,$86.67 / 1KG
Woolworths 16 Pork Chipolatas 600g,$7.00,$11.67 / 1KG
Woolworths Beef Oyster Blade Steak 600g,$14.50,$24.17 / 1KG
Woolworths Beef Porterhouse Steak Medium 320g - 800g,$28.00,$40.00 / 1KG
Tassal Premium Tasmanian Smoked Salmon Slices 100g,$11.50,$115.00 / 1KG
Woolworths 8 Chicken Sausages 600g,$7.00,$11.67 / 1KG
Ocean Blue Smoked Salmon Sliced 50g,$4.90,$98.00 / 1KG
Woolworths Beef Scotch Fillet Steak Small 180g - 300g,$12.90,$43.00 / 1KG
Woolworths Salmon Portions Skin Off 4 Pack,$17.50,$38.04 / 1KG
Woolworths Frozen Salmon Fillets Skin On 250g,$7.00,$28.00 / 1KG
Macro Grass Fed Beef Rump Medallions 300g,$14.50,$48.33 / 1KG
Woolworths Homestyle Beef Rissoles 8 Pack,$8.50,$14.17 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Woolworths Italian Style Fennel Pork Sausages 500g,$9.00,$18.00 / 1KG
Woolworths Classic Cumberland Pork Sausages 500g,$9.00,$18.00 / 1KG
Chicken Schnitzel Parmi Crumbed Each,$3.70,$3.70 / 1EA
Ocean Blue Smoked Salmon 180g,$12.50,$69.44 / 1KG
Tassal Smoked Salmon 150g,$15.00,$100.00 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Ocean Chef Salmon Portions Skin On 1kg,$29.50,$29.50 / 1KG
Woolworths Aussie Beef Gluten Free Sausage Mince 500g,$6.00,$12.00 / 1KG
