Product Name,Price,Price per Unit
Milky Way Chocolate Party Share Bag 15 Pieces 180g,$5.50,$3.06 / 100G
Snickers Chocolate Party Share Bag 20 Pieces 300g,$6.00,$2.00 / 100G
Mars Chocolate Bar With Nougat & Caramel 47g,$2.20,$4.68 / 100G
Mars Chocolate Party Share Bag 20 Pieces 320g,$6.00,$1.88 / 100G
Woolworths Strawberry Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Arnott's Salada Original Crispbreads Crispbreads Original 250g,$3.00,$1.20 / 100G
Woolworths Vanilla Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Woolworths Mild Salsa 300g,$1.50,$0.50 / 100G
Arnott's Shapes Chicken Crimpy Cracker Biscuits 175g,$3.50,$2.00 / 100G
Arnott's Shapes Cheese & Bacon Cracker Biscuits 180g,$3.50,$1.94 / 100G
M&m's Milk Chocolate Snack & Share Party Bag 680g,$10.00,$1.47 / 100G
Snickers Chocolate Bar Peanuts Caramel Nougat 44g,$2.20,$5.00 / 100G
M&m's Peanut Milk Chocolate Snack & Share Party Bag 650g,$10.00,$1.54 / 100G
Maltesers Milk Chocolate Party Gift Box 400g,$14.00,$3.50 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Vanilla 140g,$2.40,$1.71 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Strawberry 140g,$2.40,$1.71 / 100G
Arnott's Shapes Barbecue Cracker Biscuits 175g,$3.50,$2.00 / 100G
Twisties Cheese Snacks Party Size Bag 270g,$4.00,$1.48 / 100G
Woolworths Sesame Seeds 100g,$1.10,$11.00 / 1KG
Arnott's Tim Tam Original Family Pack Chocolate Biscuits 365g,$5.00,$1.37 / 100G
Woolworths Walnuts Kernel 500g,$12.50,$25.00 / 1KG
Arnott's Shapes Multipack Crackers Variety 15 Pack,$5.50,$1.47 / 100G
Arnott's Shapes Pizza Cracker Biscuits 190g,$3.50,$1.84 / 100G
Arnott's Tiny Teddy Variety Multipack Biscuits 15 Pack,$5.50,$1.47 / 100G
Arnott's Tim Tam Original Chocolate Biscuits 200g,$4.50,$2.25 / 100G
Woolworths Walnuts Californian 450g,$9.00,$20.00 / 1KG
Woolworths Walnuts Californian 190g,$4.37,$23.00 / 1KG
Twisties Cheese Flavoured Snacks Multipack (6 Pack) 114g,$4.50,$3.95 / 100G
Sakata Rice Crackers Plain 100g,$2.30,$2.30 / 100G
Doritos Salsa Dip Mild 300g,$2.75,$0.92 / 100G
Arnott's Shapes Vegemite & Cheese Cracker Biscuits 165g,$3.50,$2.12 / 100G
Arnott's Tim Tam Double Chocolate Biscuits 200g,$4.50,$2.25 / 100G
Milky Way Chocolate Party Share Bag 15 Pieces 180g,$5.50,$3.06 / 100G
Snickers Chocolate Party Share Bag 20 Pieces 300g,$6.00,$2.00 / 100G
Mars Chocolate Bar With Nougat & Caramel 47g,$2.20,$4.68 / 100G
Mars Chocolate Party Share Bag 20 Pieces 320g,$6.00,$1.88 / 100G
Woolworths Strawberry Yoghurt Pouch 70g,$0.75,$1.07 / 100G
Arnott's Salada Original Crispbreads Crispbreads Original 250g,$3.00,$1.20 / 100G
